Example	Website or web page giving email address	Xtal,Rxn,QM,MD,Cheminf,Viewer,Draw,Dock	New Category	Open Source/Freeware/Free for Academics/Shareware/Commercial	OS License Type	Description that contains full sentences.	Comments
XMD	http://xmd.sourceforge.net	MD		Open Source	GPL, C	XMD performs Computer Molecular Dynamics (CMD) simulations on metals and ceramics.	
XmMol	http://www.ebgm.jussieu.fr/XmMol.php	Viewer		Open Source	GPL, C	XmMol is a desktop macromolecular visualization and modeling tool designed to be easy to use, configure and enhance. Its graphics are based on X11, and part of its user interface is based on Motif. Thus it provides a way of displaying structures on any X11 server.	
XMolCalc	http://www.unizh.ch/oci/group.pages/hesse/xmolcalc/index.html		Utility	Freeware		XMolCalc is a small utility that allows you to calculate a molecular weight under Unix/X11.	
XNMR	http://www.seimet.de/en/simulation.html	NMR		Shareware		XNMR is an X11 based program capable of simulating exchange broadened NMR spectra of dynamic molecules with up to nine chemical configurations. XNMR further supports up to a certain degree the processing of experimental data obtained from Bruker NMR spectrometers running UXNMR or XWin-NMR.	
XOrtep	http://ruby.chemie.uni-freiburg.de/~martin/ortep/ortep.html	Xtal		Freeware		XOrtep is is a slightly modified version of the ortep-for-sun code that was written to provide an editor/previewer combination based on Sun's OpenView toolkit.	
XPMA	http://www.rzuser.uni-heidelberg.de/~il1/laszlo/xpm.html	Xtal		Freeware		XPMA is a mouse driven menu based graphical program for the manipulation of crystal structures. It reads SHELX93, SHELXL, SHELX76 and SHELXS-OUTPUT FILES.	
XPovChem	http://freshmeat.net/projects/xpovchem/	Viewer		Open Source	GPL, C	XPovChem is a molecule viewer based on the PovRay raytracer. It takes a molecule description, converts it into a .pov file, and lets povray render the image -- thus allowing a very high rendering quality. Xpovchem includes the professional Babel molecule format converter and is a GUI frontend to Paul Thiessen's povchem console program.	
XRDL	http://www.jcrystal.com/steffenweber/JAVA/xrdl/xrdl.html	Xtal		Freeware		XRDL is reciprocal space viewer written in Java. It is also released as part of JSV. It allows real-time rotation of the reciprocal lattice points. This software is 'Charityware'.	
X-UTIL	http://alpha2.bmc.uu.se/~gerard/manuals/xutil.html	Xtal		Free for academics		X-UTIL is a set of utility programs intended for (but not limited to) practising protein crystallographers.	
XVibs	http://xvibs.sourceforge.net/	Viewer, QM		Open Source	GPL, Java	XVibs is a utility for animating molecular vibrations. Normal modes are read from a file automatically determined to be from Aces2, Gamess, PC Gamess, Gaussian 90/92/95/94/98, ADF, Dalton, Jaguar, MOPAC, or HyperChem. Separate animation files are written for each vibration.	
YAeHMOP	http://yaehmop.sourceforge.net/	QM		Open Source	GPL, (C, Fortran)	Yet Another extended Huckel Molecular Orbital Package (YAeHMOP) is intended to be an easy to use, transparent, extended Huckel calculation and visualization package which can perform calculations on both molecular and extended materials in 1,2, or 3 dimensions.	
Yambo	http://www.yambo-code.org/	QM		Open Source	GPL, (C, Fortran)	Yambo is a FORTRAN/C code for Many-Body calculations in solid state and molecular physics. Yambo relies on the Kohn-Sham wavefunctions generated by the DFT codes abinit and Pwscf.	
YASARA Dynamics	http://www.yasara.com/	Viewer, MD		Commercial		YASARA Dynamics contains YASARA View and adds support for molecular simulations. Beside the YASARA NOVA Force Field and the new highly accurate YAMBER force fields, you can use other well known MD force fields like AMBER, and run accurate all-atom MD simulations in aqueous solution with Particle Mesh Ewald longrange electrostatics at twice the speed you know from other programs. YASARA Dynamics is not a black box with input and output files, but shows the MD simulation in real-time on screen. You can fully interact with the scene, pull atoms or whole molecules around.	
YASARA View	http://www.yasara.com/	Viewer		Freeware		Explore macromolecular structures interactively with YASARA View, whose innotive 3D engine is up to 35 times faster than OpenGL. You can load multiple structures at the same time, create publication-quality ray-traced images including labels, and program your own macros and Python plugins.	
YMOL	http://www.teoroo.mkem.uu.se/daniels/ymol.html	Viewer		Free for academics		Molecular visualisation and animation program, which can be used to create production quality images, and movies, using either the built in renderer or by exporting the scenes to POVRAY.	
ZMM	http://www.zmmsoft.com	MM		Commercial		ZMM is a molecular modeling program for theoretical studies of systems of any complexity: small molecules, peptides, proteins, nucleic acids, and ligand-receptor complexes. ZMM searches optimal structures in the space of generalized coordinates: torsion angles, bond angles, bond lengths, positions of free molecules and ions, and orientation of free molecules.	
Zodiac	http://www.zeden.org			Open Source	GPL, C++	Zodiac is an advanced molecular editor for molecular modelling and computer aided drug design, that offers tools such as energy minimisation, database management, molecular property prediction and front ends to various docking and QM programs. It is cross platform and released under the GPL.	
ZORTEP	http://www.rzuser.uni-heidelberg.de/~il1/laszlo/xpm.html	Xtal		Freeware		ZORTEP is a mouse driven, menu based graphical ORTEP program. This allows the 'real-time' graphical rotation and manipulation of structures and/or thermal ellipsoids on the screen.	
